src	tgt
Unit One	第一单元
Hello! I'm Zoom.	你好！我是佐姆！
Hello! I'm Mike.	你好！我是迈克。
Hi, I'm Wu Yifan.	嗨，我是吴一凡。
Hello!	你好！
Hi! My name's Zip.	嗨！我的名字是热普。
Goodbye!	再见！
Bye, Miss White!	再见，怀特小姐！
Hello, I'm Chen Jie.What's your name?	你好，我是陈洁。你叫什么名字？
My name's Sarah	我叫萨拉。
Hello, I'm Miss White.	你好，我是怀特老师。
Hello, I'm Wu Yifan.	你好，我是吴一凡。
Hi, I'm Sarah.	你好，我是萨拉。
Let's play	让我们玩一玩
Hello, I'm Liu Xin.	你好，我是刘兴。
I'm John.	我是约翰。
I have a ruler.	我有一把尺子。 
I have an eraser.	我有一块橡皮擦。
Let's chant	说说唱唱
I have a ruler. Me too! I have a pencil. Me too! I have a crayon. Me too! I have an eraser. Me too!	我有一把尺子。我也有！我有一支铅笔。我也有！我有一支蜡笔。我也有！我有一块橡皮擦。我也有！
Let's sing	唱一唱
A B C song	字母歌
Let's find out	让我们来找一找
Hello, I'm Mike. What's your name?	你好，我叫迈克，你叫什么名字？
My name's John.	我叫约翰。
Goodbye!	再见！
Bye, Miss White.	再见，怀特老师。
Let's play	让我们玩一玩
What's your name?	你叫什么名字？
My name's Lily.	我叫莉莉。
Zoom! Your bag!	佐姆！你的书包！
Oh, no!	噢，不！
Open your pencil box. Show me your pen. Close your book. Carry your bag.	打开你的铅笔盒。给我看看你的钢笔。合上你的书。背上你的书包。
Start to read	开始阅读
Circle the some letters.	圈出相同的字母
Read an count	阅读并计数
Let's check	查一查
Listen and number	听录音标序号
Look and match	看一看并搭配
Let's sing	唱一唱
Hello!	你好
Hello, Sarah! Do, oh, do. Hello, John! Do, oh, do.，Sarah! Hello, Mike! Hello! Hello! Hello!	你好，萨拉!做，哦，做。你好，约翰!做，哦，做。你好，迈克!做，哦，做。你好，你好，你好！
Hello!	你好!
Hi! Who’s there?	你好！谁在那儿？
Guess!	猜猜！
Are you Tutu？	你是兔兔吗？
No!	不是！
Haha! I'm Zip!	哈哈！我是热普！
Hi, Zip! My name's Zoom.	你好，热普！我是佐姆。 
Let's play! OK?	我们一起玩吧！好吗？
Great!	太好了！
Unit Two	第二单元
Let's paint!	画一画！
Good afternoon, Yifan.	下午好，一凡。
Good afternoon.	下午好。
OK!	好的！
Dad, this is Mr Jones.	爸爸，这是琼斯先生。
Nice to meet you.	很高兴见到你。
Nice to meet you,too.	也很高兴见到你。
A Let's talk	A 让我们来说一说
Mr Jones,this is Miss Green.	琼斯先生，这是格林小姐。
Good morning, Miss Green.	早上好，格林小姐。
Good morning.	早上好。
Draw and say	画一画，说一说
This is Miss Green.	这是格林小姐。
This is Mr Jones.	这是琼斯先生。
I see green.	我看到绿色。
I see red.	我看到红色。
Show me green. Show me red. Show me blue. Show me yellow.	给我看绿色。给我看红色。给我看蓝色。给我看黄色。
Letters and sounds	字母与发音
Listen,repeat and chant.	听一听，重复读并唱一唱
A ant apple.	A 蚂蚁 苹果。
B book bag	B 书 书包
C crayon cat.	C 蜡笔 猫。
D dog duck	D 狗 鸭子
Listen adn circel	听一听，圈一圈
one d dog, tow c cat,three b brown,four c crayon,five d duck	1 d 狗，2 c 猫，3 b 棕色的，4 c 蜡笔，5 d 鸭子
Write and say	写一写，说一说
Aa Ba Cc Dd	Aa Ba Cc Dd
